HepMC::Version 3.02.05
HepMC::Asciiv3-START_EVENT_LISTING
T Pythia\|6.428\|
E 0 24 53
U GEV MM
P 1 0 2212 0.0000000000000000e+00 0.0000000000000000e+00 7.4410785110157258e+00 7.5000000000000009e+00 9.3827000000000005e-01 3
P 2 0 2212 0.0000000000000000e+00 0.0000000000000000e+00 -7.4410785110157258e+00 7.5000000000000009e+00 9.3827000000000005e-01 3
P 3 1 21 -1.5242178175441159e+00 1.0645610742887268e-01 -1.2090115925955369e+00 1.9484049602580700e+00 -0.0000000000000000e+00 3
P 4 2 21 -5.9596966580058597e-01 -9.0870289635838863e-01 -1.3295020488205742e+00 1.7171186604957422e+00 -0.0000000000000000e+00 3
P 5 3 21 -1.5242178175441154e+00 1.0645610742887268e-01 -1.2090115925955358e+00 1.9484049602580691e+00 0.0000000000000000e+00 3
P 6 4 21 -5.9596966580058530e-01 -9.0870289635838819e-01 -1.3295020488205735e+00 1.7171186604957411e+00 0.0000000000000000e+00 3
V -5 0 [5,6]
P 7 -5 21 -1.0591326803489212e+00 -9.1080876239608399e-01 -2.0777203771775481e+00 2.5036486578550492e+00 0.0000000000000000e+00 3
P 8 -5 21 -1.0610548029957796e+00 1.0856197346656848e-01 -4.6079326423856132e-01 1.1618749628987608e+00 0.0000000000000000e+00 3
P 9 1 2101 3.8227877581848407e-01 -3.1942173777112498e-01 3.0861695524319037e+00 3.1793447539170301e+00 5.7933000000000001e-01 2
P 10 8 21 -1.0610548029957796e+00 1.0856197346656848e-01 -4.6079326423856132e-01 1.1618749628987610e+00 0.0000000000000000e+00 2
P 11 7 21 -1.0591326803489212e+00 -9.1080876239608399e-01 -2.0777203771775481e+00 2.5036486578550492e+00 0.0000000000000000e+00 2
P 12 2 2 -1.0827586742545003e-01 1.8386456020641895e-01 -4.2316974034061966e-01 5.7749672648992645e-01 3.3000000000000002e-01 2
P 13 1 2 1.1419390417256319e+00 2.1296563034225230e-01 3.5358653810295544e+00 3.7363917256475667e+00 3.3000000000000002e-01 2
P 14 2 2101 7.0424553322603600e-01 7.2483833615196969e-01 -3.6603515517047249e+00 3.8412431731916645e+00 5.7933000000000001e-01 2
V -8 0 [9,10,11,12]
P 15 -8 92 -1.8461845749516668e+00 -9.3780396649422160e-01 1.2448617067517448e-01 7.4223651011607661e+00 7.1265793424249573e+00 2
P 16 15 223 3.3282571385686543e-01 -4.2297896935921381e-01 1.7564765571530008e+00 1.9976695442940342e+00 7.8472259305270486e-01 2
P 17 15 2214 -1.8886731733702020e-01 4.4915669575929390e-01 4.6689547083171623e-01 1.4245931826139830e+00 1.2546161781053107e+00 2
P 18 15 221 -9.6021096960546370e-01 -7.3624300595217740e-01 1.2874586010261138e-01 1.3342922726890556e+00 5.4744999999999999e-01 2
P 19 15 -213 -4.0955546303259738e-01 5.1534747946721055e-02 -1.1014988246693931e+00 1.3427395144872660e+00 6.4750153318093995e-01 2
P 20 15 211 -6.2037653883345090e-01 -2.7927343488884526e-01 -1.1261328927427605e+00 1.3230705870764286e+00 1.3957000000000000e-01 1
V -9 0 [13,14]
P 21 -9 92 1.8461845749516679e+00 9.3780396649422193e-01 -1.2448617067517054e-01 7.5776348988392312e+00 7.2881534073491556e+00 2
P 22 21 113 4.3365468353700087e-01 -3.7912673113481177e-02 1.3587545713781639e+00 1.6209203070342548e+00 7.6920406991823687e-01 2
P 23 21 323 2.3948352581109333e-01 2.3405690403964219e-01 9.7107122955663677e-02 9.7628575400634821e-01 9.1190409949921980e-01 2
P 24 21 -311 4.5105924970333861e-01 -1.9932505443437404e-01 7.4896618224344957e-01 1.0255782247651970e+00 4.9767000000000000e-01 2
P 25 21 111 4.0270236040523766e-01 8.2886878797484775e-01 -1.0646643702885503e+00 1.4145396708882922e+00 1.3497999999999999e-01 2
P 26 21 -211 -3.2430641408019589e-01 -3.3524262128474858e-01 2.8678396063639794e-01 5.6505494451223404e-01 1.3957000000000000e-01 1
P 27 21 2212 6.4359116957519302e-01 4.4735862331233567e-01 -1.5514336376002955e+00 1.9752559976329036e+00 9.3827000000000005e-01 1
P 28 16 22 1.2998810189817250e-01 -5.9619577268484569e-01 1.4313843552815644e+00 1.5560229685153077e+00 0.0000000000000000e+00 1
P 29 16 111 2.0283761195869299e-01 1.7321680332563186e-01 3.2509220187143639e-01 4.4164657577872679e-01 1.3497999999999999e-01 2
P 30 17 2212 -1.2065675422502919e-03 5.0758333960702817e-01 5.0981341704215888e-01 1.1823293177233070e+00 9.3827000000000005e-01 1
P 31 17 111 -1.8766074979476993e-01 -5.8426643847734355e-02 -4.2917946210442579e-02 2.4226386489067603e-01 1.3497999999999999e-01 2
P 32 18 211 -2.8621401153140663e-01 -3.6618885807279278e-01 -8.6103289626921486e-03 4.8535210192024730e-01 1.3957000000000000e-01 1
P 33 18 -211 -2.6259341588893892e-01 -5.6788979170241671e-02 6.4846584821700165e-02 3.0962098553951001e-01 1.3957000000000000e-01 1
P 34 18 111 -4.1140354218511810e-01 -3.1326516870914306e-01 7.2509604243603379e-02 5.3931918522929834e-01 1.3497999999999999e-01 2
P 35 19 -211 -1.5080276047378169e-01 2.8903905065545776e-01 -7.4173227193235403e-01 8.2215059052235229e-01 1.3957000000000000e-01 1
P 36 19 111 -2.5875270255881566e-01 -2.3750430270873674e-01 -3.5976655273703895e-01 5.2058892396491374e-01 1.3497999999999999e-01 2
P 37 22 211 -1.1686515929423991e-02 -2.9429931195263043e-01 7.1281139925388515e-01 7.8379113000635692e-01 1.3957000000000000e-01 1
